stranica,pitanje,odgovor
domace-trziste,Kako da kupim ili prodam akcije na Banjalučkoj berzi?,"Otvorite račun kod Eurobrokera, potpišete nalog i ugovor, a Društvo izvršava nalog na berzi u vaše ime. Svaki korak vam objašnjava imenovani broker."
domace-trziste,Koliko traje otvaranje računa?,"Klasičnim postupkom obično jedan do dva radna dana od kompletne dokumentacije. Listu dokumenata dobijate unaprijed."
domace-trziste,Imam naslijeđene akcije — šta s njima?,"Pošaljite upit o postojećim hartijama. Provjeravamo stanje u registru i objašnjavamo opcije prodaje ili zadržavanja, bez obaveze."
svjetska-trzista,Mogu li iz BiH kupiti globalne akcije i ETF-ove?,"Da. Kao domaće licencirano društvo posredujemo pri kupovini globalnih akcija, ETF-ova i fjučersa za kvalifikovane klijente."
svjetska-trzista,Kako se oporezuje ulaganje u inostranstvu?,"Poreske obaveze zavise od vaše situacije. Dajemo opšte informacije i upućujemo na nadležne izvore; konkretan savjet je dio ugovorene usluge."
obveznice-rs,Kupuju li se obveznice RS u banci?,"Ne. Obveznice se kupuju preko brokera. Eurobroker vam objašnjava dostupne serije, dospijeće i način kupovine."
obveznice-rs,Da li je prinos zagarantovan?,"Ne postoji zagarantovan prinos. Obveznica nosi svoje rizike; prije odluke pročitajte upozorenje o rizicima."
investiciono-savjetovanje,Po čemu se savjetovanje razlikuje od izvršenja naloga?,"Kod izvršenja naloga vi donosite odluku, a mi je sprovodimo. Kod savjetovanja dobijate pisanu preporuku zasnovanu na vašem cilju i profilu rizika, po ugovoru."
emisija-obveznica,Znači li vaš interes da je emisija unaprijed odobrena?,"Ne. Inicijalni razgovor i procjena spremnosti ne znače da je emisija odobrena. Odluku o izvodljivosti donosimo zajedno, na osnovu činjenica."
emisija-obveznica,Koliko traje proces emisije?,"Zavisi od spremnosti društva. Proces vodimo u jasnim fazama — od procjene spremnosti do uvrštenja — sa realnim rokovima za svaku fazu."
procjena-spremnosti,Da li je rezultat upitnika investicioni savjet?,"Nije. Rezultat je opšta orijentaciona procjena spremnosti, a ne savjet ni ponuda. Služi kao osnova za razgovor."
institucionalni-program,Zašto rokovi nisu objavljeni na stranici?,"Rokove objavljujemo tek kada su operativno izvodljivi. Konkretne obaveze i nivoe usluge dobijate u formalnoj ponudi."
