id,level,parent,slug,title,url,type,phase,nav_order,segment,intent,message,goal,primary_cta,primary_cta_link,secondary_cta,secondary_cta_link,related,documents,seo,compliance,kpi,classification,eyebrow
1,1,,pocetna,Početna,/,Hub,1,0,"A,B",Ko je Eurobroker i da li rješava moj problem,Svijet investicija na jednom mjestu,"Domaća berza i svjetska tržišta, investiciono savjetovanje i usluge za kompanije.",Otvorite račun,otvorite-racun,Zakažite razgovor,kontakt,"investiranje,za-kompanije,institucionalni-klijenti,analize",,,Upozorenje o riziku i identifikacioni podaci u podnožju,Udio ulazaka u segmentni tok,A,25 godina na tržištu kapitala
2,1,,investiranje,Investiranje,/investiranje/,Hub segmenta,1,1,"A,B",Šta su moje opcije za ulaganje,Vaš pristup domaćim i svjetskim tržištima,Investirajte u različite vrste hartija od vrijednosti na domaćem i stranim tržištima - samostalno ili uz stručnu podršku našeg tima,Otvorite račun,otvorite-racun,Zakažite razgovor,kontakt,"domace-trziste,svjetska-trzista,obveznice-rs,investiciono-savjetovanje",Vodič za početnike,,Bez tvrdnji o prinosu,Prelazak na uslužnu stranicu,A,Investiranje
3,2,investiranje,domace-trziste,Domaće tržište,/investiranje/domace-trziste/,Uslužna,1,,A,Kako da prodam ili kupim akcije,Vaš broker za domaće tržište,"Kada želite da kupite ili prodate hartije od vrijednosti na Banjalučkoj berzi, imate direktan kontakt sa brokerom koji vodi nalog i odgovara na vaša pitanja.",Otvorite račun,otvorite-racun,Upit o postojećim hartijama,kontakt,"obveznice-rs,cjenovnik",,2,Usklađenost sa Pravilima poslovanja i pravilima berze,Upiti; preuzimanja obrazaca,A,
4,2,investiranje,svjetska-trzista,Svjetska tržišta,/investiranje/svjetska-trzista/,Uslužna,1,,B,Mogu li kupiti globalne akcije iz BiH,Više od 100 tržišta. Jedan brokerski račun,"Akcije, ETF-ovi i drugi dostupni instrumenti na vodećim svjetskim tržištima, uz jedan račun i podršku Eurobrokera.",Otvorite račun za svjetska tržišta,otvorite-racun,Prijava na mjesečni pregled,analize,"investiciono-savjetovanje,analize",Lista dokumenata; obrazac; uzorak izvještaja,3,Naziv platforme samo ako je ugovorno dozvoljeno,Pokrenuti procesi; prva transakcija u 90 dana,A,
5,2,investiranje,obveznice-rs,Obveznice Republike Srpske,/investiranje/obveznice-republike-srpske/,Uslužna,1,,A,Kako se kupuju obveznice RS,Do obveznica Republike Srpske u nekoliko koraka,"Ne morate unaprijed poznavati berzanske procedure. Objasnićemo vam kako funkcioniše trgovanje, šta vam je potrebno za otvaranje računa i kako se daje prvi nalog.",Zatražite informaciju o obveznicama,kontakt,Preuzmite vodič,edukacija,"domace-trziste,edukacija","Vodič „Obveznice za štediše""",5,Bez tvrdnji o zagarantovanom prinosu,Upiti; preuzimanja; prijave na webinar,A,
6,2,investiranje,investiciono-savjetovanje,Investiciono savjetovanje,/investiranje/investiciono-savjetovanje/,Uslužna,1,,D,Da li je moj portfelj dobro postavljen,Zajedno kreiramo vaš portfolio,Pomažemo vam da izaberete investicije koje odgovaraju vašim ciljevima.,Zakažite razgovor sa savjetnikom,kontakt,Zatražite pregled portfelja,kontakt,"analize,svjetska-trzista",Opis paketa; izvod iz cjenovnika,4,,Zahtjevi; sastanci; ugovoreni paketi,A (uslovno),Investiciono savjetovanje
8,1,,za-kompanije,Za kompanije,/za-kompanije/,Hub segmenta,1,2,F,Postoji li alternativa kreditu,Podrška kroz sve faze poslovanja,"Pomažemo kompanijama da donose kvalitetne poslovne odluke, prepoznaju nove mogućnosti i svoje planove uspješno sprovedu u djelo. ",Provjerite spremnost kompanije,procjena-spremnosti,Zakažite inicijalni razgovor,kontakt,"emisija-obveznica,finansiranje-putem-trzista-kapitala","Kontrolna lista „Deset pitanja""",,Bez utiska da je emisija unaprijed odobrena,Popunjeni upitnici; sastanci,A,Za kompanije
9,2,za-kompanije,finansiranje-putem-trzista-kapitala,Finansiranje putem tržišta kapitala,/za-kompanije/finansiranje-putem-trzista-kapitala/,Edukativno-prodajna,1,,F,Koje su opcije osim banke,Kredit nije jedini način finansiranja,"Banke su važan izvor finansiranja, ali nisu jedini. Saznajte kako se finansiranje putem tržišta kapitala razlikuje od tradicionalnog kredita i kada ga vrijedi razmotriti.","Preuzmite vodič „Kredit ili obveznica""",kontakt,Zakažite razgovor,kontakt,"emisija-obveznica,procjena-spremnosti","Vodič „Kredit ili obveznica""",7,Bez omalovažavanja bankarskih proizvoda,Preuzimanja; prelazak na uslužnu stranicu,A,
10,2,za-kompanije,emisija-obveznica,Emisija obveznica,/za-kompanije/emisija-obveznica/,Uslužna,1,,F,Kako emisija konkretno izgleda,Vodimo emisiju od procjene spremnosti do uvrštenja,Kvalifikovana prilika u registru; prvi mandat,Zatražite inicijalni razgovor,kontakt,Preuzmite kontrolnu listu,procjena-spremnosti,"procjena-spremnosti,priprema-za-trziste-kapitala",Kontrolna lista; opis faza,6,"Opisuje uslugu, ne pojedinačnu emisiju; nema poziva na upis",Upiti; prilike u registru,A,
11,2,za-kompanije,emisija-akcija-i-dokapitalizacija,Emisija akcija i dokapitalizacija,/za-kompanije/emisija-akcija-i-dokapitalizacija/,Uslužna,1,,F,Kako pribaviti vlasnički kapital,Dokapitalizacija kao alternativa dugu,Pokriti drugu polovinu korporativne tražnje,Zatražite razgovor,kontakt,,,"emisija-obveznica,priprema-za-trziste-kapitala",,6,Ista pravila kao za emisiju obveznica,Upiti,A,
