mjesec,tema,analiza,vodic,webinar,sadrzaj_za_kompanije
M1,Pokretanje sajta,Prvi pregled svjetskih tržišta,Kako otvoriti brokerski račun — korak po korak,Prvi koraci na stranim tržištima,Novi sajt: šta možete pronaći i uraditi
M2,Domaći investitor,Mjesečni pregled,Obveznice Republike Srpske za štediše,Obveznice: kako se kupuju i šta nose,Kredit ili obveznica — poređenje za vlasnika
M3,Kompanije,Mjesečni + kvartalni pregled domaćeg tržišta,Šta je ETF,Finansiranje preduzeća putem tržišta kapitala,Šest znakova da je preduzeće preraslo bankarsko finansiranje
M4,Dijaspora,Mjesečni pregled,Investiranje iz inostranstva — dokumentacija i postupak,Ulaganje iz dijaspore,Priprema društva za tržište kapitala
M5,Rizik,Mjesečni pregled,Rizik i prinos,Najčešće greške početnika,Deset pitanja prije emisije obveznica
M6,Savjetovanje,Mjesečni + kvartalni pregled,"Razlika između informacije, analize i preporuke",Kada ima smisla platiti investicioni savjet,Kako izgleda emisija — faze i rokovi
M7,Domaće tržište,Mjesečni pregled,Naslijeđene akcije — šta s njima,Kako funkcioniše Banjalučka berza,Dokapitalizacija kao alternativa dugu
M8,Portfelj,Mjesečni pregled,Diversifikacija na malom portfelju,Kako se sastavlja jednostavan portfelj,Odnosi sa investitorima za uvrštene emitente
M9,Institucije,Mjesečni + kvartalni pregled,Šta je ugovoreni nivo usluge,Institucionalno izvještavanje (po pozivu),Šta investitori traže od emitenta
M10,Troškovi,Mjesečni pregled,Koliko stvarno košta trgovanje,Troškovi i porezi u globalnom ulaganju,Kako se određuje naknada agenta emisije
M11,Dugoročno ulaganje,Mjesečni pregled,Ulaganje za djecu i dugoročna štednja,Za povratnike i dijasporu,Generacijska tranzicija vlasništva
M12,Godišnji pregled,Mjesečni + kvartalni + godišnji osvrt,Godina na tržištu,Plan za narednu godinu,Godišnji pregled primarnog tržišta u RS
